serialNumber,date,latestFullness,fullnessThreshold,reason_code,longitude,latitude,year,month,day,weekday
1510830,2018-12-20,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,20,3
1510830,2018-12-21,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,21,4
1510830,2018-12-22,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,22,5
1510830,2018-12-23,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,23,6
1510830,2018-12-24,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,24,0
1510830,2018-12-25,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,25,1
1510830,2018-12-26,2.0,6.0,2,144.6601949611,-37.9018111375,2018,12,26,2
1510830,2018-12-27,6.0,6.0,1,144.6601949611,-37.9018111375,2018,12,27,3
1510830,2018-12-28,6.0,6.0,1,144.6601949611,-37.9018111375,2018,12,28,4
1510830,2018-12-29,6.0,6.0,1,144.6601949611,-37.9018111375,2018,12,29,5
1510830,2018-12-30,6.0,6.0,1,144.6601949611,-37.9018111375,2018,12,30,6
1510830,2018-12-31,0.0,6.0,2,144.6601949611,-37.9018111375,2018,12,31,0
1510830,2019-01-01,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,1,1
1510830,2019-01-02,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,2,2
1510830,2019-01-03,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,3,3
1510830,2019-01-04,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,4,4
1510830,2019-01-05,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,5,5
1510830,2019-01-06,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,6,6
1510830,2019-01-07,0.0,6.0,2,144.6601949611,-37.9018111375,2019,1,7,0
1510830,2019-01-08,2.0,6.0,2,144.6601949611,-37.9018111375,2019,1,8,1
1510830,2019-01-09,2.0,6.0,2,144.6601949611,-37.9018111375,2019,1,9,2
1510830,2019-01-10,2.0,6.0,2,144.6601949611,-37.9018111375,2019,1,10,3
